,code,title,pointsR1,pointsR2,LEVEL
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57,,8
150,CM001,Education - Primary Teaching,484,,8
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,,8
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,8
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,8
154,CM010,Education Studies,319,,8
155,CM020,Early Childhood Education,327,,8
180,CR105,Chemical and Biopharmaceutical Engineering,443,,8
181,CR106,Software Development,411,,8
182,CR108,Mechanical Engineering,434,,8
183,CR109,Structural Engineering,394,,8
184,CR110,Automotive Business Management and Technology,311,,8
185,CR112,Creative Digital Media,361,,8
186,CR116,Computer Systems,332,,8
187,CR121,Music at CIT Cork School of Music,868,,8
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,8
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,,8
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768,8
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,8
192,CR129,Popular Music: Voice at CIT Cork School of Music,841,,8
193,CR130,Musical Theatre at CIT Cork School of Music,548,518,8
194,CR150,Business Information Systems,335,,8
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,,8
196,CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,,8
197,CR225,Photography with New Media,#+matric,,8
199,CR305,Physical Sciences (Common Entry),282,,8
200,CR310,IT Management,297,,8
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,8
202,CR325,Pharmaceutical Biotechnology,398,,8
203,CR333,Nutrition and Health Science,402,,8
204,CR335,Biological Sciences (Common Entry),420,,8
205,CR340,Analytical Chemistry with Quality Assurance,251,,8
206,CR360,Instrument Engineering,261,,8
207,CR365,Environmental Science and Sustainable Technology,253,,8
208,CR370,Agri-Biosciences,397,,8
209,CR400,Accounting,316,,8
210,CR420,Marketing,285,,8
211,CR425,International Business with Language,298,,8
212,CR430,Sport and Exercise Management,322,,8
213,CR440,Montessori Education,288,,8
214,CR500,Engineering (Common Entry),411,,8
215,CR510,Sustainable Energy Engineering,320,,8
216,CR520,Biomedical Engineering,444,,8
217,CR560,Architectural Technology,308,,8
218,CR565,Interior Architecture,359,,8
219,CR570,Quantity Surveying,336,,8
220,CR572,Construction Management,269,,8
221,CR580,Electrical Engineering,318,,8
222,CR590,Electronic Engineering,303,,8
223,CR600,Visual Communications,#+matric,,8
229,CR660,Tourism Management,252,,8
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,740,645,8
235,CT125,Information Technology,220,,8
236,CT325,Business,338,,8
238,CW018,Business (options),298,248,8
240,CW028,Early Childhood Education and Care,252,,8
242,CW038,Art (portfolio),700,,8
245,CW058,Tourism and Event Management,298,,8
246,CW068,Applied Social Studies in Professional Social Care,245,,8
248,CW078,Sustainable Farm Management and Agribusiness,269,,8
249,CW088,Visual Communications and Design,274,,8
252,CW108,Science (options),261,,8
256,CW128,Brewing and Distilling,263,,8
257,CW138,Sport and Exercise Science,423,,8
258,CW148,Strength and Conditioning,379,,8
259,CW188,Sport Rehabilitation and Athletic Therapy,451,448,8
262,CW208,Computer Games Development,279,,8
266,CW238,Software Development,297,,8
267,CW248,Information Technology Management,285,,8
268,CW258,Cybercrime and IT Security,293,,8
269,CW268,Computing in Interactive Digital Art and Design,287,,8
273,CW438,Construction (options),272,,8
274,CW468,Architectural Technology,262,,8
275,CW478,Civil Engineering,433,,8
280,CW548,Mechanical Engineering,321,,8
281,CW558,Electronic Systems,280,,8
282,CW568,Aerospace Engineering,380,,8
283,CW578,TV and Media Production,325,,8
286,CW708,Law - LLB,302,,8
288,CW728,Product Design Innovation,252,,8
289,CW748,Early Childhood Education and Care,270,,8
290,CW758,Professional Social Care Practice,336,,8
292,CW808,Media and Public Relations,251,,8
296,CW848,Digital Marketing with Analytics,254,,8
297,CW858,"Sports Management and Coaching (options, portfolio)",700,,8
299,CW908,Business (options),280,,8
303,CW938,Business with Law,283,,8
304,CW948,Accounting,300,,8
305,DB500,Computing,218,218,8
306,DB501,Computing (Cloud Computing),227,227,8
307,DB502,Computing (Data Analytics and Big Data),341,341,8
308,DB503,Computing (Software Development),225,225,8
309,DB504,Computing (Web and Mobile Technology),,281,8
310,DB510,Audio Production and Music Project Management,234,223,8
311,DB512,Business Studies,218,203,8
312,DB514,Business Studies (Law),252,,8
313,DB515,Business Studies (Human Resource Management),244,244,8
314,DB516,Financial Services,,,8
315,DB517,Marketing (Event Management),238,,8
316,DB521,Accounting and Finance,225,195,8
317,DB524,Business (Information Systems),342,309,8
318,DB526,Business (Cloud Computing),347,,8
319,DB527,Applied Social Care,234,260,8
321,DB531,Marketing,293,,8
323,DB562,Psychology,243,229,8
325,DB566,Social Science,220,227,8
326,DB567,Film and Creative Media,218,202,8
327,DB568,Law,219,252,8
328,DB569,Business (Psychology),252,,8
334,DC001,Education - Early Childhood Education,440,,8
335,DC002,Education - Primary Teaching,488,,8
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445,,8
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411,409,8
338,DC009,Arts (Joint Honours) - Humanities,376,,8
339,DC010,Post Primary Teacher Education - Religious Education and English,441,429,8
340,DC011,Post Primary Teacher Education - Religious Education and History,412,391,8
