code,Title,EOS_20,EOS_19
WD116,General Nursing,422.0,413.0
WD117,Psychiatric Nursing,366.0,361.0
WD120,Intellectual Disability Nursing,377.0,338.0
WD134,International Business,290.0,289.0
WD137,Design (Visual Communications),271.0,253.0
WD140,Laws,280.0,290.0
WD144,Architecture,284.0,283.0
WD147,Pharmaceutical Science,293.0,298.0
WD149,Early Childhood Studies,271.0,288.0
WD150,Criminal Justice Studies,270.0,271.0
WD161,Computer Forensics and Security,255.0,262.0
WD162,Quantity Surveying,216.0,260.0
WD163,Psychology,434.0,390.0
WD186,Sports Coaching and Performance,270.0,276.0
WD187,Social Science,272.0,271.0
WD191,Agricultural Science,377.0,378.0
WD192,Social Care Practice,270.0,279.0
WD193,Marketing and Digital Media,271.0,290.0
WD194,Culinary Arts,217.0,235.0
WD195,Architectural and Building Information Modelling Technology,279.0,266.0
WD210,Software Systems Development,279.0,271.0
WD211,Creative Computing,271.0,275.0
WD212,Recreation and Sport Management,270.0,274.0
WD230,Mechanical and Manufacturing Engineering,253.0,273.0
