code,Title,EOS_20,EOS_19
DC155,Applied Language and Translation Studies,387.0,371.0
DC161,Analytical Science,489.0,446.0
DC162,Chemical and Pharmaceutical Sciences,521.0,488.0
DC166,Environmental Science and Technology,399.0,412.0
DC168,Genetics and Cell Biology,510.0,489.0
DC181,Biotechnology,495.0,476.0
DC190,Electronic and Computer Engineering (with choice of four majors),413.0,391.0
DC193,Mechatronic Engineering,411.0,404.0
DC195,Mechanical and Manufacturing Engineering,425.0,401.0
DC197,Biomedical Engineering,423.0,402.0
DC200,Common Entry into Engineering (Undenominated Entry),422.0,381.0
DC201,Common Entry into Science (Undenominated Entry),488.0,454.0
DC202,Sport Science and Health,498.0,467.0
DC203,Science Education,435.0,424.0
DC204,Athletic Therapy and Training,519.0,484.0
DC205,Physical Education with Biology,531.0,490.0
DC206,Physical Education with Mathematics,499.0,443.0
DC208,Psychology,521.0,509.0
DC209,Health and Society,440.0,419.0
DC215,General Nursing,433.0,414.0
DC216,Mental Health Nursing,403.0,368.0
DC217,Intellectual Disability Nursing,370.0,347.0
DC218,Children`s and General Nursing (Integrated),498.0,467.0
DC230,"Economics, Politics and Law",435.0,400.0
DC231,International Relations,397.0,387.0
DC232,Law and Society (BCL),466.0,453.0
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309.0,307.0
DC238,Social Sciences and Cultural Innovation,377.0,358.0
DC240,"Marketing, Innovation and Technology",474.0,451.0
DC291,Arts (Joint Honours) - Media Studies,376.0,349.0
DC292,Arts (Joint Honours) - Law,403.0,356.0
DC293,Arts (Joint Honours) - International Languages,377.0,369.0
DC295,Arts (Joint Honours) - Politics,376.0,348.0
DK810,Accounting and Finance,305.0,306.0
DK816,Business Studies,300.0,300.0
DK820,Computing in Games Development,311.0,307.0
DK821,Computing in Software Development,302.0,301.0
DK830,Building Surveying,336.0,302.0
DK831,Architectural Technology,389.0,301.0
DK832,Construction Management,387.0,300.0
DK843,Engineering (Common Entry),340.0,303.0
DK861,Arts,302.0,300.0
DK862,Social Care,301.0,300.0
DK863,Creative Media,308.0,300.0
DK864,Film and Television Production,300.0,300.0
DK865,Audio and Music Production,301.0,301.0
DK870,General Nursing,397.0,392.0
DK872,Intellectual Disability Nursing,336.0,300.0
DK874,Mental Health Nursing,356.0,356.0
DK876,Early Childhood Studies,321.0,305.0
DK880,Health and Physical Activity,328.0,300.0
DK882,Agriculture (Award options),310.0,303.0
DK883,Science (Award options),300.0,300.0
DL821,"English, Media and Cultural Studies",212.0,211.0
DL822,Arts Management,235.0,209.0
DL823,Business Management,237.0,260.0
DL825,Applied Psychology,379.0,349.0
DL836,Creative Computing,219.0,217.0
DL837,New Media Studies,201.0,290.0
DN100,Architecture,510.0,473.0
DN120,Landscape Architecture,407.0,353.0
DN130,City Planning and Environmental Policy,390.0,367.0
DN150,Engineering (Common Entry),520.0,511.0
DN200,Science (options),533.0,521.0
DN201,Computer Science (Common Entry),510.0,488.0
DN230,Actuarial and Financial Studies,601.0,577.0
DN250,Agricultural Science (options),453.0,420.0
DN252,Dairy Business,410.0,398.0
DN253,Agri - Environmental Sciences,413.0,403.0
DN261,Food Science,476.0,434.0
DN262,Human Nutrition,531.0,493.0
DN271,Forestry,311.0,303.0
DN272,"Horticulture, Landscape and Sportsturf Management",282.0,252.0
DN310,Veterinary Nursing,466.0,441.0
DN410,Radiography,531.0,507.0
DN420,Physiotherapy,568.0,542.0
DN425,Health and Performance Science,507.0,488.0
DN430,Sport and Exercise Management,433.0,436.0
DN450,General Nursing,421.0,398.0
DN452,Midwifery,473.0,409.0
DN453,Mental Health Nursing,393.0,379.0
DN520,Joint Honours (options),310.0,336.0
DN530,Humanities (options),326.0,348.0
DN541,Modern Languages (options),300.0,348.0
DN610,Business and Law,544.0,521.0
DN660,Commerce International (options),510.0,507.0
DN670,Economics and Finance,613.0,601.0
DN700,Social Sciences (options),418.0,388.0
DN710,Economics,498.0,476.0
DN720,Psychology,522.0,517.0
DN750,Social Policy and Sociology,377.0,330.0
GA181,Accounting,309.0,303.0
